UF;município;código IBGE;nome do fundo;CNPJ;nome do estabelecimento;código CNES;CNPJ;código da emenda parlamentar;valor por emenda;valor por parlamentar;valor;funcional programático;numero da proposta;numero da portaria;data
MG;Pedro Teixeira;314940;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Pequeri;314950;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Pescador;315000;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Piau;315010;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Ponto Chique;315213;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Pratinha;315300;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Presidente Juscelino;315320;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Presidente Kubitschek;315330;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Quartel Geral;315370;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Queluzito;315380;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Rio Doce;315500;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Rochedo de Minas;315620;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Romaria;315640;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santa Bárbara do Monte Verde;315727;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santa Fé de Minas;315760;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santa Rita de Ibitipoca;315940;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santa Rosa da Serra;315970;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santana de Cataguases;315840;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santana do Deserto;315860;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santana do Garambéu;315870;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santana dos Montes;315910;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santo Antônio do Aventureiro;316000;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santo Antônio do Rio Abaixo;316050;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Santo Hipólito;316060;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Félix de Minas;316105;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Geraldo da Piedade;316160;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Geraldo do Baixio;316165;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Gonçalo do Rio Preto;312550;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São João da Mata;316230;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São José do Divino;316330;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São José do Mantimento;316360;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Sebastião da Vargem Alegre;316443;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Sebastião do Rio Preto;316480;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;São Sebastião do Rio Verde;316490;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Sem-Peixe;316556;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Senador Cortes;316560;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Senador José Bento;316580;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Senhora do Porto;316610;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Seritinga;316640;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Serra da Saudade;316660;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Serranos;316700;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Silveirânia;316730;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Simão Pereira;316750;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Taparuba;316805;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Tapiraí;316820;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Umburatiba;317030;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Uruana de Minas;317047;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Vargem Bonita;317060;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Veríssimo;317110;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Vieiras;317140;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
MG;Wenceslau Braz;317220;;;;;;;;;R$ 20.000,00;;;3728.;07/05/2024
Total;R$ 2.752.485,85;;;;;;;;;;;;;3728.;07/05/2024
RS;SES/RS;430000;;;;;;;;;;;;3750.;07/05/2024
RS;Aceguá;430003;;;;;;;;;;;;3750.;07/05/2024
RS;Água Santa;430005;;;;;;;;;;;;3750.;07/05/2024
RS;Agudo;430010;;;;;;;;;;;;3750.;07/05/2024
RS;Ajuricaba;430020;;;;;;;;;;;;3750.;07/05/2024
RS;Alecrim;430030;;;;;;;;;;;;3750.;07/05/2024
RS;Alegrete;430040;;;;;;;;;;;;3750.;07/05/2024
RS;Alegria;430045;;;;;;;;;;;;3750.;07/05/2024
RS;Almirante Tamandaré do Sul;430047;;;;;;;;;;;;3750.;07/05/2024
RS;Alpestre;430050;;;;;;;;;;;;3750.;07/05/2024
RS;Alto Alegre;430055;;;;;;;;;;;;3750.;07/05/2024
RS;Alto Feliz;430057;;;;;;;;;;;;3750.;07/05/2024
RS;Alvorada;430060;;;;;;;;;;;;3750.;07/05/2024
RS;Amaral Ferrador;430063;;;;;;;;;;;;3750.;07/05/2024
RS;Ametista do Sul;430064;;;;;;;;;;;;3750.;07/05/2024
RS;André da Rocha;430066;;;;;;;;;;;;3750.;07/05/2024
RS;Anta Gorda;430070;;;;;;;;;;;;3750.;07/05/2024
RS;Antônio Prado;430080;;;;;;;;;;;;3750.;07/05/2024
RS;Arambaré;430085;;;;;;;;;;;;3750.;07/05/2024
RS;Araricá;430087;;;;;;;;;;;;3750.;07/05/2024
RS;Aratiba;430090;;;;;;;;;;;;3750.;07/05/2024
RS;Arroio do Meio;430100;;;;;;;;;;;;3750.;07/05/2024
RS;Arroio do Sal;430105;;;;;;;;;;;;3750.;07/05/2024
RS;Arroio do Padre;430107;;;;;;;;;;;;3750.;07/05/2024
RS;Arroio dos Ratos;430110;;;;;;;;;;;;3750.;07/05/2024
RS;Arroio do Tigre;430120;;;;;;;;;;;;3750.;07/05/2024
RS;Arroio Grande;430130;;;;;;;;;;;;3750.;07/05/2024
RS;Arvorezinha;430140;;;;;;;;;;;;3750.;07/05/2024
RS;Augusto Pestana;430150;;;;;;;;;;;;3750.;07/05/2024
RS;Áurea;430155;;;;;;;;;;;;3750.;07/05/2024
RS;Bagé;430160;;;;;;;;;;;;3750.;07/05/2024
RS;Balneário Pinhal;430163;;;;;;;;;;;;3750.;07/05/2024
RS;Barão;430165;;;;;;;;;;;;3750.;07/05/2024
RS;Barão de Cotegipe;430170;;;;;;;;;;;;3750.;07/05/2024
RS;Barão do Triunfo;430175;;;;;;;;;;;;3750.;07/05/2024
RS;Barracão;430180;;;;;;;;;;;;3750.;07/05/2024
RS;Barra do Guarita;430185;;;;;;;;;;;;3750.;07/05/2024
RS;Barra do Quaraí;430187;;;;;;;;;;;;3750.;07/05/2024
RS;Barra do Ribeiro;430190;;;;;;;;;;;;3750.;07/05/2024
RS;Barra do Rio Azul;430192;;;;;;;;;;;;3750.;07/05/2024
RS;Barra Funda;430195;;;;;;;;;;;;3750.;07/05/2024
RS;Barros Cassal;430200;;;;;;;;;;;;3750.;07/05/2024
RS;Benjamin Constant do Sul;430205;;;;;;;;;;;;3750.;07/05/2024
RS;Bento Gonçalves;430210;;;;;;;;;;;;3750.;07/05/2024
RS;Boa Vista das Missões;430215;;;;;;;;;;;;3750.;07/05/2024
RS;Boa Vista do Buricá;430220;;;;;;;;;;;;3750.;07/05/2024
RS;Boa Vista do Cadeado;430222;;;;;;;;;;;;3750.;07/05/2024
RS;Boa Vista do Incra;430223;;;;;;;;;;;;3750.;07/05/2024
RS;Boa Vista do Sul;430225;;;;;;;;;;;;3750.;07/05/2024
RS;Bom Jesus;430230;;;;;;;;;;;;3750.;07/05/2024
RS;Bom Princípio;430235;;;;;;;;;;;;3750.;07/05/2024
RS;Bom Progresso;430237;;;;;;;;;;;;3750.;07/05/2024
RS;Bom Retiro do Sul;430240;;;;;;;;;;;;3750.;07/05/2024
RS;Boqueirão do Leão;430245;;;;;;;;;;;;3750.;07/05/2024
RS;Bossoroca;430250;;;;;;;;;;;;3750.;07/05/2024
RS;Bozano;430258;;;;;;;;;;;;3750.;07/05/2024
RS;Braga;430260;;;;;;;;;;;;3750.;07/05/2024
RS;Brochier;430265;;;;;;;;;;;;3750.;07/05/2024
RS;Butiá;430270;;;;;;;;;;;;3750.;07/05/2024
RS;Caçapava do Sul;430280;;;;;;;;;;;;3750.;07/05/2024
RS;Cacequi;430290;;;;;;;;;;;;3750.;07/05/2024
RS;Cachoeira do Sul;430300;;;;;;;;;;;;3750.;07/05/2024
RS;Cachoeirinha;430310;;;;;;;;;;;;3750.;07/05/2024
RS;Cacique Doble;430320;;;;;;;;;;;;3750.;07/05/2024
RS;Caibaté;430330;;;;;;;;;;;;3750.;07/05/2024
RS;Caiçara;430340;;;;;;;;;;;;3750.;07/05/2024
RS;Camaquã;430350;;;;;;;;;;;;3750.;07/05/2024
RS;Camargo;430355;;;;;;;;;;;;3750.;07/05/2024
RS;Cambará do Sul;430360;;;;;;;;;;;;3750.;07/05/2024
RS;Campestre da Serra;430367;;;;;;;;;;;;3750.;07/05/2024
RS;Campina das Missões;430370;;;;;;;;;;;;3750.;07/05/2024
RS;Campinas do Sul;430380;;;;;;;;;;;;3750.;07/05/2024
RS;Campo Bom;430390;;;;;;;;;;;;3750.;07/05/2024
RS;Campo Novo;430400;;;;;;;;;;;;3750.;07/05/2024
RS;Campos Borges;430410;;;;;;;;;;;;3750.;07/05/2024
RS;Candelária;430420;;;;;;;;;;;;3750.;07/05/2024
RS;Cândido Godói;430430;;;;;;;;;;;;3750.;07/05/2024
RS;Candiota;430435;;;;;;;;;;;;3750.;07/05/2024
RS;Canela;430440;;;;;;;;;;;;3750.;07/05/2024
RS;Canguçu;430450;;;;;;;;;;;;3750.;07/05/2024
RS;Canoas;430460;;;;;;;;;;;;3750.;07/05/2024
RS;Canudos do Vale;430461;;;;;;;;;;;;3750.;07/05/2024
RS;Capão Bonito do Sul;430462;;;;;;;;;;;;3750.;07/05/2024
RS;Capão da Canoa;430463;;;;;;;;;;;;3750.;07/05/2024
RS;Capão do Cipó;430465;;;;;;;;;;;;3750.;07/05/2024
RS;Capão do Leão;430466;;;;;;;;;;;;3750.;07/05/2024
RS;Capivari do Sul;430467;;;;;;;;;;;;3750.;07/05/2024
RS;Capela de Santana;430468;;;;;;;;;;;;3750.;07/05/2024
RS;Capitão;430469;;;;;;;;;;;;3750.;07/05/2024
RS;Carazinho;430470;;;;;;;;;;;;3750.;07/05/2024
RS;Caraá;430471;;;;;;;;;;;;3750.;07/05/2024
RS;Carlos Barbosa;430480;;;;;;;;;;;;3750.;07/05/2024
RS;Carlos Gomes;430485;;;;;;;;;;;;3750.;07/05/2024
RS;Casca;430490;;;;;;;;;;;;3750.;07/05/2024
RS;Caseiros;430495;;;;;;;;;;;;3750.;07/05/2024
RS;Catuípe;430500;;;;;;;;;;;;3750.;07/05/2024
RS;Caxias do Sul;430510;;;;;;;;;;;;3750.;07/05/2024
RS;Centenário;430511;;;;;;;;;;;;3750.;07/05/2024
RS;Cerrito;430512;;;;;;;;;;;;3750.;07/05/2024
RS;Cerro Branco;430513;;;;;;;;;;;;3750.;07/05/2024
RS;Cerro Grande;430515;;;;;;;;;;;;3750.;07/05/2024
RS;Cerro Grande do Sul;430517;;;;;;;;;;;;3750.;07/05/2024
RS;Cerro Largo;430520;;;;;;;;;;;;3750.;07/05/2024
RS;Chapada;430530;;;;;;;;;;;;3750.;07/05/2024
RS;Charqueadas;430535;;;;;;;;;;;;3750.;07/05/2024
RS;Charrua;430537;;;;;;;;;;;;3750.;07/05/2024
RS;Chiapetta;430540;;;;;;;;;;;;3750.;07/05/2024
RS;Chuí;430543;;;;;;;;;;;;3750.;07/05/2024
RS;Chuvisca;430544;;;;;;;;;;;;3750.;07/05/2024
RS;Cidreira;430545;;;;;;;;;;;;3750.;07/05/2024
RS;Ciríaco;430550;;;;;;;;;;;;3750.;07/05/2024
RS;Colinas;430558;;;;;;;;;;;;3750.;07/05/2024
RS;Colorado;430560;;;;;;;;;;;;3750.;07/05/2024
RS;Condor;430570;;;;;;;;;;;;3750.;07/05/2024
RS;Constantina;430580;;;;;;;;;;;;3750.;07/05/2024
RS;Coqueiro Baixo;430583;;;;;;;;;;;;3750.;07/05/2024
RS;Coqueiros do Sul;430585;;;;;;;;;;;;3750.;07/05/2024
RS;Coronel Barros;430587;;;;;;;;;;;;3750.;07/05/2024
RS;Coronel Bicaco;430590;;;;;;;;;;;;3750.;07/05/2024
RS;Coronel Pilar;430593;;;;;;;;;;;;3750.;07/05/2024
RS;Cotiporã;430595;;;;;;;;;;;;3750.;07/05/2024
RS;Coxilha;430597;;;;;;;;;;;;3750.;07/05/2024
RS;Crissiumal;430600;;;;;;;;;;;;3750.;07/05/2024
RS;Cristal;430605;;;;;;;;;;;;3750.;07/05/2024
RS;Cristal do Sul;430607;;;;;;;;;;;;3750.;07/05/2024
RS;Cruz Alta;430610;;;;;;;;;;;;3750.;07/05/2024
RS;Cruzaltense;430613;;;;;;;;;;;;3750.;07/05/2024
RS;Cruzeiro do Sul;430620;;;;;;;;;;;;3750.;07/05/2024
RS;David Canabarro;430630;;;;;;;;;;;;3750.;07/05/2024
RS;Derrubadas;430632;;;;;;;;;;;;3750.;07/05/2024
RS;Dezesseis de Novembro;430635;;;;;;;;;;;;3750.;07/05/2024
RS;Dilermando de Aguiar;430637;;;;;;;;;;;;3750.;07/05/2024
RS;Dois Irmãos;430640;;;;;;;;;;;;3750.;07/05/2024
RS;Dois Irmãos das Missões;430642;;;;;;;;;;;;3750.;07/05/2024
RS;Dois Lajeados;430645;;;;;;;;;;;;3750.;07/05/2024
RS;Dom Feliciano;430650;;;;;;;;;;;;3750.;07/05/2024
RS;Dom Pedro de Alcântara;430655;;;;;;;;;;;;3750.;07/05/2024
RS;Dom Pedrito;430660;;;;;;;;;;;;3750.;07/05/2024
RS;Dona Francisca;430670;;;;;;;;;;;;3750.;07/05/2024
RS;Doutor Maurício Cardoso;430673;;;;;;;;;;;;3750.;07/05/2024
RS;Doutor Ricardo;430675;;;;;;;;;;;;3750.;07/05/2024
RS;Eldorado do Sul;430676;;;;;;;;;;;;3750.;07/05/2024
RS;Encantado;430680;;;;;;;;;;;;3750.;07/05/2024
RS;Encruzilhada do Sul;430690;;;;;;;;;;;;3750.;07/05/2024
RS;Engenho Velho;430692;;;;;;;;;;;;3750.;07/05/2024
RS;Entre-Ijuís;430693;;;;;;;;;;;;3750.;07/05/2024
RS;Entre Rios do Sul;430695;;;;;;;;;;;;3750.;07/05/2024
RS;Erebango;430697;;;;;;;;;;;;3750.;07/05/2024
RS;Erechim;430700;;;;;;;;;;;;3750.;07/05/2024
RS;Ernestina;430705;;;;;;;;;;;;3750.;07/05/2024
RS;Herval;430710;;;;;;;;;;;;3750.;07/05/2024
RS;Erval Grande;430720;;;;;;;;;;;;3750.;07/05/2024
RS;Erval Seco;430730;;;;;;;;;;;;3750.;07/05/2024
RS;Esmeralda;430740;;;;;;;;;;;;3750.;07/05/2024
RS;Esperança do Sul;430745;;;;;;;;;;;;3750.;07/05/2024
RS;Espumoso;430750;;;;;;;;;;;;3750.;07/05/2024
RS;Estação;430755;;;;;;;;;;;;3750.;07/05/2024
RS;Estância Velha;430760;;;;;;;;;;;;3750.;07/05/2024
RS;Esteio;430770;;;;;;;;;;;;3750.;07/05/2024
RS;Estrela;430780;;;;;;;;;;;;3750.;07/05/2024
RS;Estrela Velha;430781;;;;;;;;;;;;3750.;07/05/2024
RS;Eugênio de Castro;430783;;;;;;;;;;;;3750.;07/05/2024
RS;Fagundes Varela;430786;;;;;;;;;;;;3750.;07/05/2024
RS;Farroupilha;430790;;;;;;;;;;;;3750.;07/05/2024
RS;Faxinal do Soturno;430800;;;;;;;;;;;;3750.;07/05/2024
RS;Faxinalzinho;430805;;;;;;;;;;;;3750.;07/05/2024
RS;Fazenda Vilanova;430807;;;;;;;;;;;;3750.;07/05/2024
RS;Feliz;430810;;;;;;;;;;;;3750.;07/05/2024
RS;Flores da Cunha;430820;;;;;;;;;;;;3750.;07/05/2024
RS;Floriano Peixoto;430825;;;;;;;;;;;;3750.;07/05/2024
RS;Fontoura Xavier;430830;;;;;;;;;;;;3750.;07/05/2024
RS;Formigueiro;430840;;;;;;;;;;;;3750.;07/05/2024
RS;Forquetinha;430843;;;;;;;;;;;;3750.;07/05/2024
RS;Fortaleza dos Valos;430845;;;;;;;;;;;;3750.;07/05/2024
RS;Frederico Westphalen;430850;;;;;;;;;;;;3750.;07/05/2024
PE;SALOÁ;261230;;;;;;;;;;;172854;3658.;07/05/2024
MG;MONTES CLAROS;;FUNDO MUNICIPAL DE SAUDE;;;;;39240015;200.000,00;;200.000,00;200.000,00;1030251182E900001;36000611816202400;3825.;14/05/2024
PR;CURITIBA;;FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE;;;;;28740012;200.000,00;;200.000,00;200.000,00;1030251182E900041;36000611953202400;3825.;14/05/2024
PR;CURITIBA;;FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE;;;;;28740012;100.000,00;;100.000,00;100.000,00;1030251182E900041;36000611954202400;3825.;14/05/2024
PR;CURITIBA;;FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE;;;;;28740012;100.000,00;;100.000,00;100.000,00;1030251182E900041;36000611967202400;3825.;14/05/2024
